ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6237600858,Singed,Taliyah,Gangplank,Zeri,Renata,Riven,Graves,Swain,Twitch,Lulu,50485,22,41,0,False,0,0,False,False,114,False
EUW1_6237600858,Riven,Graves,Swain,Twitch,Lulu,Singed,Taliyah,Gangplank,Zeri,Renata,59860,41,22,4,True,1,2,True,True,122,True
EUW1_6237659232,Akali,Maokai,Yasuo,Ezreal,Pyke,Gangplank,Kindred,Sylas,Aphelios,Lulu,49125,22,38,0,False,1,2,True,True,110,False
EUW1_6237659232,Gangplank,Kindred,Sylas,Aphelios,Lulu,Akali,Maokai,Yasuo,Ezreal,Pyke,52775,38,22,3,False,0,0,False,False,108,True
EUW1_6238144016,Jayce,Elise,Sylas,Lucian,Sona,Karma,Ekko,Anivia,Caitlyn,Nami,34785,20,4,1,False,0,2,True,True,32,True
EUW1_6238144016,Karma,Ekko,Anivia,Caitlyn,Nami,Jayce,Elise,Sylas,Lucian,Sona,19725,4,20,0,False,0,0,False,False,57,False
EUW1_6238170315,Jayce,Graves,Ryze,Ezreal,Karma,Gragas,Kayn,Tryndamere,Varus,Lux,42950,18,13,1,False,0,2,True,False,53,True
EUW1_6238170315,Gragas,Kayn,Tryndamere,Varus,Lux,Jayce,Graves,Ryze,Ezreal,Karma,33110,13,18,1,False,0,0,False,True,70,False
EUW1_6238209251,Aatrox,MonkeyKing,Syndra,Jhin,Lux,Lulu,Maokai,Ziggs,Varus,Jax,49635,20,24,1,False,0,2,True,True,143,False
EUW1_6238209251,Lulu,Maokai,Ziggs,Varus,Jax,Aatrox,MonkeyKing,Syndra,Jhin,Lux,55225,24,20,3,False,2,0,False,False,158,True
EUW1_6238308039,Olaf,MonkeyKing,Syndra,Ashe,Nautilus,Karma,Vi,Seraphine,Varus,Renata,53200,30,22,3,False,0,2,True,True,186,True
EUW1_6238308039,Karma,Vi,Seraphine,Varus,Renata,Olaf,MonkeyKing,Syndra,Ashe,Nautilus,46850,22,30,1,False,1,0,False,False,121,False
EUW1_6238366131,Renekton,Elise,Ryze,Lucian,Nami,Irelia,Kindred,Singed,Zeri,Yuumi,55490,24,29,3,False,0,1,True,True,90,False
EUW1_6238366131,Irelia,Kindred,Singed,Zeri,Yuumi,Renekton,Elise,Ryze,Lucian,Nami,52205,29,24,1,False,1,1,False,False,57,True
EUW1_6238423894,Gangplank,Udyr,Zed,Syndra,Karma,Jayce,Elise,Lissandra,Caitlyn,Lux,51475,27,16,2,False,1,1,True,True,89,True
EUW1_6238423894,Jayce,Elise,Lissandra,Caitlyn,Lux,Gangplank,Udyr,Zed,Syndra,Karma,43635,16,27,1,False,0,1,False,False,83,False
EUW1_6238485685,Gangplank,Viego,Ryze,Twitch,Karma,KSante,Evelynn,Singed,Draven,Lux,50610,35,19,2,False,1,2,True,True,78,True
EUW1_6238485685,KSante,Evelynn,Singed,Draven,Lux,Gangplank,Viego,Ryze,Twitch,Karma,39085,19,35,0,False,0,0,False,False,123,False
EUW1_6238677822,Gangplank,Gragas,Yone,Lucian,Nami,Gwen,Graves,Yasuo,Caitlyn,Karma,29350,17,6,0,False,0,1,True,True,35,True
EUW1_6238677822,Gwen,Graves,Yasuo,Caitlyn,Karma,Gangplank,Gragas,Yone,Lucian,Nami,22545,6,17,1,False,0,0,False,False,33,False
